subj,spec,work,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14
122,7,8,1,1,0,1,0,0,0,0,1,0,0,0,1,0
123,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,22,3,1,1,0,0,1,0,0,0,1,0,0,0,1,0
125,25,6,1,1,0,0,1,0,0,0,1,0,0,0,1,0
126,25,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0
127,25,7,1,1,0,0,0,1,0,0,0,0,1,0,1,0
128,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,7,7,1,1,1,0,0,0,0,0,0,0,0,0,1,1
130,22,8,1,1,1,1,0,0,0,0,1,0,0,0,0,0
131,7,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0
132,25,8,1,1,0,0,1,1,0,1,0,0,0,0,0,0
133,18,6,0,1,0,1,1,1,0,0,0,1,0,0,0,0
134,4,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0
135,22,8,0,1,0,0,1,1,0,0,1,0,0,0,0,0
136,18,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0
137,22,7,1,1,0,1,1,1,0,0,0,0,0,0,0,0
138,25,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
139,21,8,1,1,0,1,1,0,0,0,0,0,0,0,0,0
140,12,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
141,22,8,1,1,0,1,0,0,0,0,0,1,1,0,0,0
142,4,6,0,1,1,0,1,0,0,0,1,0,0,0,0,0
143,22,3,0,1,1,0,0,0,1,1,1,0,0,0,0,0
144,22,3,1,0,0,1,0,1,0,0,1,0,0,1,0,0
145,4,8,1,1,0,1,0,0,0,1,0,0,1,0,0,0
146,25,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0
147,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,22,8,0,1,0,0,0,0,1,0,1,0,1,0,1,0
149,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
150,25,8,1,1,0,0,0,0,0,0,1,0,1,0,1,0
151,18,8,0,1,0,1,1,1,0,0,0,1,0,0,0,0
152,12,6,0,1,0,1,1,1,0,0,0,0,0,0,1,0
153,22,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154,10,8,0,1,0,0,0,0,0,0,0,0,0,0,1,1
155,22,8,0,1,0,1,1,1,0,0,1,0,0,0,0,0
156,25,8,1,1,0,0,1,0,0,1,1,0,0,0,0,0
157,9,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0
158,22,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0
159,24,8,0,1,0,0,1,1,0,0,0,0,1,0,0,0
160,16,7,1,1,1,0,0,0,1,0,0,0,0,0,1,0
161,22,8,1,1,0,1,1,0,0,0,0,0,1,0,0,0
162,25,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0
163,16,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0
164,4,8,0,1,0,0,1,0,0,0,1,0,1,0,0,0
165,7,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
166,22,8,0,1,0,0,0,1,0,1,1,0,0,0,1,0
167,25,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1
168,25,3,0,1,0,1,0,1,0,0,1,1,0,0,0,0
169,10,8,1,1,0,1,0,0,0,0,0,0,1,0,1,0
170,16,8,0,1,0,0,1,0,0,0,0,1,0,1,1,0
171,25,8,1,1,0,1,1,0,0,0,0,0,0,0,0,0
172,25,8,1,1,0,0,1,0,0,0,1,0,1,0,0,0
173,25,6,1,1,0,0,1,0,0,1,1,0,0,0,0,0
174,4,4,0,1,0,1,1,1,0,0,0,0,1,0,0,0
175,10,8,0,1,0,0,1,1,0,0,0,1,0,0,1,0
176,22,8,0,1,0,0,0,0,1,0,1,0,0,0,1,0
177,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,5,8,1,1,0,0,0,0,0,1,1,0,0,1,0,0
179,10,8,1,1,0,0,0,0,0,0,0,1,1,0,0,1
180,22,8,1,1,0,0,1,1,0,0,1,0,0,0,0,0
181,25,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0
182,22,8,1,1,0,0,0,0,0,0,1,0,1,0,0,1
183,22,8,0,1,0,1,1,1,0,0,1,0,0,0,0,0
184,4,8,1,0,0,1,1,0,0,1,0,0,0,0,1,0
185,22,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0
186,7,8,1,1,0,1,0,0,0,0,1,0,0,0,1,0
187,5,8,0,1,0,0,0,0,1,0,1,0,0,0,0,1
188,25,8,1,0,0,0,0,1,1,0,1,0,0,1,0,0
189,5,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1
190,7,8,0,1,0,0,0,0,0,1,1,0,1,0,1,0
191,18,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0
192,25,8,1,1,0,0,0,0,0,0,1,1,1,0,0,0
193,25,8,1,1,0,1,0,1,0,0,1,0,0,0,0,0
194,7,8,0,1,0,1,0,0,0,0,0,0,1,0,1,0
195,16,8,0,1,1,0,0,0,1,0,0,0,1,0,0,0
196,16,8,0,1,1,1,0,0,1,0,0,0,0,0,0,0
197,4,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0
198,25,8,1,0,0,1,1,0,0,1,1,0,0,0,0,0
199,17,8,1,0,0,0,0,0,0,0,1,1,0,0,1,0
200,16,8,1,1,0,0,1,0,0,0,0,0,0,1,1,0
201,4,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0
202,18,6,1,1,0,0,0,0,0,0,1,1,0,0,0,0
203,5,8,1,1,0,0,1,1,0,0,0,0,0,0,0,0
204,22,8,0,1,0,1,0,0,0,1,1,0,0,0,1,0
205,18,7,1,1,0,0,0,1,1,0,0,0,0,0,0,1
206,8,8,1,1,0,0,1,1,0,0,0,0,1,0,0,0
207,20,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0
208,22,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0
209,18,8,0,1,0,0,0,1,0,0,0,0,1,0,1,0
210,5,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0
211,22,8,1,1,0,0,1,0,0,0,1,0,0,0,1,0
212,10,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0
213,9,7,1,1,0,0,0,1,0,1,1,0,0,0,0,0
214,25,6,0,1,0,0,0,0,1,0,1,0,1,0,1,0
215,7,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
216,25,3,1,1,0,0,0,1,0,1,1,0,0,0,0,0
